Collection Name,Link to collection metadata,Archive,Level to integrate into EHRI portal,EHRI portal integration? (Y/N/staging set),Relevant sub-components (folder-level ingests only; some notes may also be included for collection level):,Reference,Finding Aid ID,Conditions governing access (if provided),Original archive's email/website,Further archival contact information
252 JFonds Jean Matifas,https://francearchives.gouv.fr/en/findingaid/c9e1f9959ba6b646c024c0df46f32f79d53b6e29,Archives départementales de Charente-Maritime,Collection,,,252 J 1-523,FRAD017_252J,"Statut juridique Archives privées
Communicabilité
L'ensemble du fonds est librement communicable.",archives@charente-maritime.fr,https://francearchives.gouv.fr/en/service/33520
268 W - Sous-préfecture de Nyons.,https://francearchives.gouv.fr/en/findingaid/e7aaf8b2508f093eb1191f556d3a9913f154f85f,Archives départementales de la Drôme,Folder,,"268 W - Sous-préfecture de Nyons.
Affaires de guerre.
Relations avec le gouvernement de Vichy.
Juifs. - https://francearchives.gouv.fr/en/facomponent/0ad88a764fd48cd9d35f4dc5af4a2d9e27011c33",268 W 1-284,FRAD026_000532,Les délais de communicabilité sont fixés par le livre II du code du patrimoine modifié par la loi du 15 juillet 2008.,archives@ladrome.fr,https://francearchives.gouv.fr/en/service/33580
2702 W - Archives du comité cantonal d'épuration de Rumilly (1944-1945),https://francearchives.gouv.fr/en/findingaid/40e3179e326c98772ffb3872022847fc54a414db,Archives départementales de la Haute-Savoie,Collection,Needs to be added,,2702 W 1-5,FRAD074_000001557,"Archives publiques
Les archives publiques sont, sous réserve des dispositions de l'article L. 213-2, librement communicables de plein droit (Code du Patrimoine, article L. 213-1).
Pour la consultation des documents non communicables, des dérogations sont susceptibles d'être accordées sous réserve en particulier que le chercheur motive sa demande.",archedep@hautesavoie.fr,https://francearchives.gouv.fr/en/service/34110
31J - Commission départementale d'histoire de la seconde guerre mondiale. Commission d'histoire de la guerre.,https://francearchives.gouv.fr/en/findingaid/acefa6636240e963644ae715355bf77d279a6464,Archives départementales du Rhône et de la métropole de Lyon,Collection,,,31J,FRAD069_31_J,Librement communicable..,archives@rhone.fr,https://francearchives.gouv.fr/en/service/34051
3335W - Personnes internées dans la prison Montluc de Lyon (1939-1945),https://francearchives.gouv.fr/en/findingaid/506bbec1771a591536edbb87451d7c478d127f3f,Archives départementales du Rhône et de la métropole de Lyon,Collection,,,3335W 1-3335W31,FRAD069_3335_W_,,archives@rhone.fr,https://francearchives.gouv.fr/en/service/34051
3335W - Service régional de police judiciaire (SRPJ) de Lyon - Prison Montluc,https://francearchives.gouv.fr/en/findingaid/a598806c4e77553324062655d2d165fbf8280e94,Archives départementales du Rhône et de la métropole de Lyon,Collection,,The link to the viewer and the link to the PDF inventory on this page of FranceArchives are broken - 404 error,3335W 1-3335W31,FRAD069_3335_W,,,
"342 W - Vie publique et politique, seconde guerre mondiale",https://francearchives.gouv.fr/en/findingaid/886054823c5b36cd23ad79db3cf430ea6fd838a5,Archives départementales de la Haute-Marne,Collection,,"While some components are more relevant than others, the components are too scattered throughout the collection, plus nearly all components are borderline relevant; worth listing full collection",342 W 1-318,FRAD052_342W_communicable,Statut juridique Archives publiques,archives.departementales@haute-marne.fr,https://francearchives.gouv.fr/en/service/33857
"41J - Fonds René Jupin, avocat (1940-1946)",https://francearchives.gouv.fr/en/findingaid/5e6eb2b26b1ddfdf411515b8d6f22467ee9e79ba,Archives départementales d'Indre-et-Loire,Collection,,,41J,FRAD037_J_041J,"NC Sur autorisation (Par analogie avec les fonds publics d'archives judiciaires, le délai de communication des dossiers d'affaires est de 75 ans.)
Accès sur autorisation préalable du directeur des Archives départementales.",archives@departement-touraine.fr,https://francearchives.gouv.fr/en/service/33712
"42J - ""Ligne de démarcation"" (1940-1985)",https://francearchives.gouv.fr/en/findingaid/bb26b4dfcff52a7a2f346bcfe25636e3d02d30ce,Archives départementales d'Indre-et-Loire,Folder,,"Technically these are broken into fonds within this larger collection: https://francearchives.gouv.fr/en/facomponent/aeec989ce98c219837005b71f6bc15381b18ae74, https://francearchives.gouv.fr/en/facomponent/cc144a89305a9d3165493b7ddc40aa76fcd40fcd  ",42J,FRAD037_J_042J,,archives@departement-touraine.fr,https://francearchives.gouv.fr/en/service/33712
42 W - Service des réquisitions allemandes (1940-1950),https://francearchives.gouv.fr/en/findingaid/131f964a847d839cc02479280b0fae8e7151e655,Archives départementales du Maine-et-Loire,Collection,,,42 W 1-430,FRAD049_inv_42W,"Modalités d'accès Statut juridique Archives publiques Communicabilité
Accès libre",archives49@maine-et-loire.fr,https://francearchives.gouv.fr/en/service/33832
4244W - Service départemental de l'office national des anciens combattants (ONAC) - Anciens combattants et pupilles de la Nation,https://francearchives.gouv.fr/en/findingaid/33316c404b7ef68c4b6fa79ce3a2ca718b204f48,Archives départementales du Rhône et de la métropole de Lyon,Folder,,"https://francearchives.gouv.fr/en/facomponent/a0670acc71d8233a7a2252376640d0db6b36331a, 4244W - Service départemental de l'office national des anciens combattants (ONAC) - Anciens combattants et pupilles de la Nation
Activités spécifiques.
Mise en Suvre de la mission Solidarité.
Aide aux enfants de déportés.
Tutelle.
Relations et attributions de secours aux associations d'hébergement et d'assistance aux enfants de déportés.
Aide sociale, attribution de subventions.",4244W 1-4244W280,FRAD069_4244_W,"Oui, sauf 4244W1, 7-9, 21, 22-54, 56-58, 59-63, 67-69, 70, 73-75, 105-108, 120-266, 268-270 communicables au terme d'un délai de 50 ans (vie privée).",archives@rhone.fr,https://francearchives.gouv.fr/en/service/34051
4249W - Préfecture du Rhône - Citoyens français arrêtés durant la guerre de 1939-1945,https://francearchives.gouv.fr/en/findingaid/a9a189d2edfc448d3890f82b63cd527e296dbba6,Archives départementales du Rhône et de la métropole de Lyon,Collection,,,4249W 1-4249W3,FRAD069_4249_W,Librement communicable.,archives@rhone.fr,https://francearchives.gouv.fr/en/service/34051
4544W - 5024W - Cour d'assises du Rhône - Le procès de Klaus Barbie,https://francearchives.gouv.fr/en/findingaid/2513e8f51eeac4159ea794ef5b113384c35b0cea,Archives départementales du Rhône et de la métropole de Lyon,Collection,,,4544W 1-4544W94;5024W 1-4544W4,FRAD069_4544_W ; FRAD069 _5024_W,"L'arrêté du 30 juin 2017 prévoit la libre consultation, avant l'expiration des délais prévus à l'article L. 213-2 du code du patrimoine, des archives publiques relatives au procès de Klaus Barbie, conservées aux Archives nationales (transcriptions dactylographiques et les sténotypies des audiences du procès Barbie sous les cotes BB/30/1891-1893 et 19950425/7-8) et aux Archives du Département du Rhône et de la Métropole de Lyon (4544W), à l'exclusion des dossiers de travail des magistrats et des courriers individuels qui restent soumis aux délais de droit commun (4544W W 33-41, 73, 75-76 et 91).",archives@rhone.fr,https://francearchives.gouv.fr/en/service/34051
45J - Amicale des Anciens de l'Armée Secrète en Savoie,https://francearchives.gouv.fr/en/findingaid/4f119f8dff246df90755d0b62e480ca6dcb90145,Archives départementales de la Savoie,Folder,,"Fonctionnement de l'Amicale.- 45J 1-7
Epuration et condamnations.- 45J 8-15
Actes et mémoire de la Résistance.- 45J 16-30
Publications.- 45J 31-35",45J 1-35,FRAD073000031,,archives@savoie.fr,https://francearchives.gouv.fr/en/service/34097
619 W - Affaires juives,https://francearchives.gouv.fr/en/findingaid/b9b985e545ac6035e811e9a67ade0375d3a6dc85,Archives départementales du Calvados,Collection,,"Statut et recensement de la population juive
Mesures contre les personnes juives : marques distinctives, enquêtes, restrictions de mouvements, arrestations et internements
Mesures contre les biens des personnes juives : interdictions professionnelles, recensements des biens
Gestion des administrateurs de biens juifs
Aryanisation et vente des biens juifs
Situation après-guerre : regroupement des enfants, recherches, restitution des biens",619W/1-619W/16,FRAD014_000031,,archives@calvados.fr,https://francearchives.gouv.fr/en/service/33495
61W - Préfecture du Rhône - Naturalisations,https://francearchives.gouv.fr/en/findingaid/0a31edf7fdf67dece353833ad51ed09af3434eb9,Archives départementales du Rhône et de la métropole de Lyon,Collection,,,61W 1-61W228;61W230;61W232-61W234;61W251-61W255;61W257-61W262,FRAD069_61_W,Versement librement communicable.,archives@rhone.fr,https://francearchives.gouv.fr/en/service/34051
"76 W - Préfecture, cabinet. - Affaires générales. (1935 - 1946)",https://francearchives.gouv.fr/en/findingaid/51fca1bffd65062ec4ab4faf7c5eb4211a89877b,Archives départementales des Bouches-du-Rhône,Folder,,"
Administration générale
Evènements liés à l'état de guerre.
Police, Surveillance de l'opinion publique, vie politique.
Affaires sociales, travail.
Economie et ravitaillement.
Culture.
Affaires diverses.
Sociétés mutualistes et de secours.",76 W,FRAD013_10705,"Archives publiques.
Librement communicable
Oui - Publiable sur internet",archives13@departement13.fr,https://francearchives.gouv.fr/en/service/33456
89 FI - Collection d'affiches du parti communiste français...,https://francearchives.gouv.fr/en/findingaid/3c8f64b4091270b8651150e47eb0cc28611168d7,Archives départementales de la Seine-Saint-Denis,Folder,,https://francearchives.gouv.fr/en/facomponent/11e72b85be47499680225e1c4b5d1f0afc1bdf98,89FI/1-89FI/4069,FRAD093_008187,,ad93@seinesaintdenis.fr,https://francearchives.gouv.fr/en/service/34393
998 W - Affaires juives,https://francearchives.gouv.fr/en/findingaid/54a16bde80461935b7e01d8f416533b61f9ed7c4,Archives départementales de la Haute-Marne,Collection,,"Recensement, mesures de contrôle et de concentration des juifs
Recensement et gestion des biens mobiliers, immobiliers et des entreprises appartenant à des juifs",998 W 1-6,FRAD052_998W_communicable,,archives.departementales@haute-marne.fr,https://francearchives.gouv.fr/en/service/33857
"Abbé Pierre (1912-2007), archives d'une vie : les sources écrites personnelles.",https://francearchives.gouv.fr/en/findingaid/d1b9ee8a7ef97f92a8384be4bce27bee813d3ca3,Archives nationales du monde du travail - ANMT,Collection,,SPECIFICALLY: Le resistant.,2010 18 1 à 2047,FRANMT_IR_2010_18,"Archives privées. archives privées sous contrat de dépôt révocable
Sur autorisation d'Emmaüs International, légataire universel.
En application du contrat de dépôt en date du 4 août 2021, toute consultation de ce fonds doit faire l’objet d’une déclaration préalable. Les documents sont communicables et reproductibles suivant les délais légaux du Code du patrimoine pour les archives publiques, à l’exception de certains articles dont la consultation est soumise à l’autorisation préalable du déposant.
Publiable sur internet",anmt@culture.gouv.fr,https://francearchives.gouv.fr/en/service/34645
Administration des séquestres des biens confisqués par les Domaines (1915-1961),https://francearchives.gouv.fr/en/findingaid/0a6e623e4c8500e9418e8692d8a67e00e2e1c8a8,Archives départementales du Lot-et-Garonne,Folder,,Séquestres et confiscations sous le régime de Vichy,1769 W 1-1277,FRAD047_000001025,"Statut juridique Archives publiques
Communicabilité
Depuis l'arrêté du 24 décembre 2015 (NOR : PRMX1526389A) portant ouverture d'archives relatives à la Seconde Guerre mondiale, la grande majorité des archives de l'épuration sont librement communicables à tous sans recours aux dérogations individuelles.
Toutefois, les dossiers individuels de contumax des insoumis durant la guerre d'Indochine et d'Algérie échappent à cette dernière disposition. Ainsi, les articles 1039, 1061, 1073, 1076, 1096, 1120, 1138, 1139, 1152, 1165, 1215, 1227, 1241 ne sont pas librement communicables compte tenu de la présence de jugements de tribunaux militaires (délai de 75 ans à compter de la date de clôture du dossier comme stipulé dans l'article L. 213-2 de la loi n°2008-696 du 15 juillet 2008).",archives@lotetgaronne.fr,https://francearchives.gouv.fr/en/service/33820
"Affaires juives, camps d'internement et épuration dans la Vienne",https://francearchives.gouv.fr/en/findingaid/1fb9c145a96dbd23719e88d2068de677f164eb41,Archives départementales de la Vienne,Collection,Files and mapping in staging ,,109 W 1-423,FRAD086_109W,"Archives publiques
Accès libre",archives@departement86.fr,https://francearchives.gouv.fr/en/service/34295
Affiches (1765-2012),https://francearchives.gouv.fr/en/findingaid/686320cd3a48915a9c9cfefb8804da896c1885b5,Archives départementales du Val-d'Oise,Folder,,https://francearchives.gouv.fr/en/facomponent/e950810202dd9ec14e6bf9fd6ac28e6bf11c79bb; (posters) https://francearchives.gouv.fr/en/facomponent/57f7ce3cb3c634634bffcd4a00e22bff96ce8947 ,"17 FI 1 à 83, 86 à 149, 151 à 154, 157 à 219",FRAD095_00064,"Délai de communicabilité réglementaire : conformément à l’article L213-2 du Code du patrimoine.
Restrictions d’accès liées à l’état matériel des documents : conformément au règlement de la salle de lecture en vigueur.
Publiable sur internet","
archives.publics@valdoise.fr",https://francearchives.gouv.fr/en/service/34471
Affiches de la Seconde Guerre mondiale,https://francearchives.gouv.fr/en/findingaid/77182dd01148f35cb584b03bf175ab0a0886149d,Archives départementales de l'Yonne,Collection,,"Marche vers la Guerre
Occupation
Libération et après-Guerre",32 Fi 1 à 73,FRAD089_70230032,"Documents communicables en application des articles 213-1 et suivants du Code du patrimoine et de l'arrêté du président du Conseil départemental du 12 juillet 2017 portant règlement de la salle de lecture des archives de l'Yonne. 
Publiable sur internet",archives@yonne.fr,https://francearchives.gouv.fr/en/service/34318
Anciens combattants et victimes de guerre : commissions nationales d'examen des demandes d'attribution des titres de déporté ou interné résistant ou politique (1949-1979),https://francearchives.gouv.fr/en/findingaid/620cfa5f4b96354a288d2a18a5e9ddfe028f0fe0,Archives nationales,Folder,,"Guerre 1939-1945, https://francearchives.gouv.fr/en/facomponent/23a2e1d8a70fd1f781663cb61271e0cf9e0dff11",20010255/1-20010255/10,FRAN_IR_013640,,"
http://www.archives-nationales.culture.gouv.fr",https://francearchives.gouv.fr/en/service/34633
Archives communales déposées de Bonneuil-en-France (1654-1993),https://francearchives.gouv.fr/en/findingaid/6cd41833163693fde3d3c9aa84a99d68823f0dbf,Archives départementales du Val-d'Oise,Folder,,"Archives postérieures à 1790
H - Affaires militaires
4H - Mesures d'exception et faits de guerre
Guerre 1939-1945.
Mesures de police.
Mesures contre les Juifs : arrêté préfectoral, affiche.",E-DEPOT 55 II1 - 2T3,FRAD095_00444,"
Délai de communicabilité réglementaire : conformément à l'article L213-2 du Code du patrimoine. Restrictions d'accès liées à l'état matériel des documents : conformément au règlement de la salle de lecture en vigueur
Publiable sur internet","
archives.publics@valdoise.fr",https://francearchives.gouv.fr/en/service/34471
Archives communales déposées de Courcelles-sur-Viosne (1589-1979),https://francearchives.gouv.fr/en/findingaid/8bba6a0eed04da9b3f2324ab76e0c0566dfbc817,Archives départementales du Val-d'Oise,Folder,,https://francearchives.gouv.fr/en/facomponent/f08e296afbde73e590070a1018ae524b913c6909,E-DEPOT 85,FRAD095_00844,"Délai de communicabilité réglementaire : conformément à l’article L213-2 du Code du patrimoine.
Restrictions d’accès liées à l’état matériel des documents : conformément au règlement de la salle de lecture en vigueur.
Publiable sur internet","
archives.publics@valdoise.fr",https://francearchives.gouv.fr/en/service/34471
Archives communales déposées de Piscop (1644-1973),https://francearchives.gouv.fr/en/findingaid/59b92a582691051e61af66e5ebd14abdaceb1493,Archives départementales du Val-d'Oise,Folder,,"Archives communales déposées de Piscop (1644-1973)
ARCHIVES POSTERIEURES A 1790
I – POLICE, HYGIENE, JUSTICE
2I – Police générale
Non appartenance à la religion juive : serments sur l'honneur.",E-DEPOT 51,FRAD095_00800,"Délai de communicabilité réglementaire : conformément à l’article L213-2 du Code du patrimoine. Restrictions d’accès liées à l’état matériel des documents : conformément au règlement de la salle de lecture en vigueur.
Publiable sur internet",archives.publics@valdoise.fr,https://francearchives.gouv.fr/en/service/34471
Archives de l'Inspection générale des camps d'internement (1940-1964),https://francearchives.gouv.fr/en/findingaid/1da0089e43d3da48557c695b31ce10a763a88a8f,Archives nationales de France,Collection,,,F/7/15086-F/7/15111,FRAN_IR_055943,Librement communicable,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
